Symbol,Description,Market Cap,Last,%Change,Volume,Gross Profit Margin - Current (Annual),Free Cash Flow Per Share - Current (Annual),Return on Equity (ROE) - Current (Annual),PE,EPS,Vol Index,IV_Percentile,HV_Percentile
ABT,ABBOTT LABORATORIES COM,"227,190 M",128.48,-0.11%,"582,981",50.592,$2.27,14.075,31.88,4.03,22.31%,7.4,35
LW,LAMB WESTON HLDGS INC COM,"8,177 M",55.98,-4.63%,"371,841",22.665,$1.43,88.204,31.99,1.75,33.62%,34.25,34
ZBH,ZIMMER BIOMET HOLDINGS INC COM,"27,137 M",129.9,-0.90%,"352,393",61.194,$4.95,-1.1301,33.05,3.93,30.80%,32.95,53
CME,CME GROUP INC COM,"80,748 M",224.675,-0.77%,"293,141",90.491,$0.97,8.0276,33.14,6.78,23.00%,23.06,3
BAX,BAXTER INTERNATIONAL INC COM,"39,865 M",79.62,0.05%,"1,047,348",39.853,$1.85,13.3,33.45,2.38,22.07%,13.42,62
ETN,EATON CORPORATION PLC COM,"68,723 M",172.41,-0.40%,"167,373",30.519,$1.84,9.0933,33.48,5.15,23.23%,15.34,45
CTXS,CITRIX SYSTEMS INC COM,"10,585 M",84.87,-2.37%,"289,842",84.511,$6.43,106.22,33.68,2.52,39.37%,66.98,50
AVB,AVALONBAY COMMUNITIES INC COM USD0.01,"34,027 M",243.5,-0.16%,"68,419",33.509,-$4.41,7.5955,33.73,7.22,22.15%,16.16,6
WMB,WILLIAMS COMPANIES INC COM,"34,021 M",28,-0.74%,"818,265",56.808,$0.50,1.6599,34.15,0.82,24.09%,13.28,6
IPGP,IPG PHOTONICS CORPORATION COM,"9,006 M",168.94,-1.15%,"52,969",44.889,$5.47,6.3899,34.69,4.87,30.41%,1.55,34
TT,TRANE TECHNOLOGIES PLC COM,"46,140 M",194.24,0.11%,"277,984",<empty>,<empty>,<empty>,34.94,5.56,22.75%,11.1,23
SRE,SEMPRA COM,"39,649 M",124.16,-0.06%,"151,309",64.345,-$14.56,19.864,35.07,3.54,21.25%,15.43,31
MSI,MOTOROLA SOLUTIONS INC COM,"42,895 M",253.97,0.77%,"152,457",45.765,$4.93,<empty>,35.08,7.24,22.00%,13.85,25
JCI,JOHNSON CONTROLS INTL PLC COM,"56,107 M",79.66,0.09%,"620,902",34.05,$0.83,9.3519,35.09,2.27,23.37%,16.51,41
JKHY,HENRY JACK & ASSOCIATES INC COM,"11,200 M",151.27,-1.64%,"141,624",39.519,$4.84,21.713,35.1,4.31,31.11%,40.08,66
TJX,TJX COS INC COM,"87,473 M",72.74,-1.10%,"2,890,258",23.659,$0.24,1.5359,35.14,2.07,32.02%,37.84,29
AME,AMETEK INC COM,"32,663 M",141.2,-0.09%,"55,044",34.96,$3.35,15.77,35.39,3.99,21.24%,12.51,34
MCO,MOODYS CORP COM,"73,633 M",396.09,-0.30%,"98,175",68.442,$8.37,163.04,35.46,11.17,24.20%,32.36,52
APH,AMPHENOL CORP COM CL A,"50,360 M",84.21,-0.81%,"359,266",30.982,$1.70,24.274,35.46,2.375,21.38%,9.82,45
AJG,GALLAGHER (ARTHUR J) & CO COM,"33,927 M",163.68,-0.75%,"83,392",27.499,$4.28,14.439,35.58,4.6,22.08%,23.35,58
TTWO,TAKE-TWO INTERACTIVE SOFTWARE COM,"19,951 M",173.035,-2.26%,"331,503",53.691,$7.24,20.06,35.68,4.85,35.24%,33.43,53
